action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent,shot_id
35,3,77,20000124,33.8503,70,194,-118.1998,1,1,0,14,36,20,,1,1,2,3,1207,19,33,172
35,3,79,20000124,33.9283,163,116,-118.1068,1,1,0,14,5,20,0.0,1,5,2,3,1207,19,33,173
35,3,139,20000124,33.8653,113,179,-118.1568,8,2,0,14,13,21,1.0,1,1,2,3,1207,19,33,174
35,3,150,20000124,34.0463,169,-2,-118.1008,6,2,0,14,27,16,1.0,1,5,2,3,1207,19,33,175
35,3,200,20000124,33.8883,91,156,-118.1788,0,2,0,14,52,18,0.0,1,1,2,3,1207,19,33,176
35,3,209,20000124,33.9513,134,93,-118.1358,0,2,0,14,19,16,0.0,1,5,2,3,1207,19,33,177
35,3,212,20000124,33.5673,47,477,-118.2228,0,2,0,14,0,47,0.0,2,2,3,2,1207,19,33,178
35,3,240,20000124,33.9073,11,137,-118.2588,8,3,0,14,52,13,0.0,1,4,7,4,1207,19,33,179
35,3,304,20000124,34.0313,199,13,-118.0708,2,3,0,14,55,19,0.0,1,5,2,3,1207,19,33,180
35,3,323,20000124,33.8083,77,236,-118.1928,0,3,0,14,1,24,0.0,2,1,5,5,1207,19,33,181
46,1,328,20000124,34.0443,0,0,-118.2698,11,4,0,14,44,0,,1,4,4,1,1207,19,33,182
35,3,341,20000124,33.7973,11,247,-118.2588,9,4,0,14,18,24,0.0,2,4,5,5,1207,19,33,183
35,3,378,20000124,33.8143,-103,230,-118.3728,5,4,0,14,43,25,0.0,2,6,5,5,1207,19,33,184
35,3,437,20000124,33.7973,-31,247,-118.3008,0,4,0,14,2,24,1.0,2,4,5,5,1207,19,33,185
35,3,478,20000124,33.9453,-10,99,-118.2798,2,5,0,14,5,9,1.0,1,4,7,4,1207,19,33,186
35,3,480,20000124,33.9443,13,100,-118.2568,2,5,0,14,7,10,0.0,1,4,7,4,1207,19,33,187
35,3,498,20000124,33.8443,-73,200,-118.3428,0,5,0,14,24,21,1.0,1,6,2,3,1207,19,33,188
35,3,18,20000140,33.8603,-77,184,-118.3468,10,1,0,14,5,19,1.0,1,6,2,3,1497,70,12,189
35,3,25,20000140,33.8673,188,177,-118.0818,9,1,0,14,7,25,0.0,2,1,5,5,1497,70,12,190
7,4,31,20000140,34.0443,0,0,-118.2698,8,1,0,14,15,0,0.0,1,4,4,1,1497,70,12,191
35,3,54,20000140,34.0503,174,-6,-118.0958,6,1,0,14,24,17,,1,5,2,3,1497,70,12,192
7,4,57,20000140,34.0443,0,0,-118.2698,6,1,0,14,2,0,,1,4,4,1,1497,70,12,193
35,3,70,20000140,33.9073,-128,137,-118.3978,4,1,0,14,22,18,0.0,1,6,2,3,1497,70,12,194
46,1,73,20000140,34.0443,0,0,-118.2698,4,1,0,14,9,0,1.0,1,4,4,1,1497,70,12,195
35,3,100,20000140,34.0403,153,4,-118.1168,0,1,0,14,18,15,,1,5,2,4,1497,70,12,196
35,3,112,20000140,33.9513,1,93,-118.2688,11,2,0,14,19,9,0.0,1,4,7,4,1497,70,12,197
35,3,158,20000140,33.8843,115,160,-118.1548,6,2,0,14,51,19,1.0,1,1,2,3,1497,70,12,198
35,3,162,20000140,33.8443,159,200,-118.1108,6,2,0,14,11,25,1.0,2,1,5,5,1497,70,12,199
35,3,238,20000140,34.0443,167,0,-118.1028,0,2,0,14,21,16,0.0,1,5,2,3,1497,70,12,200
35,3,246,20000140,33.7993,-162,245,-118.4318,11,3,0,14,17,29,0.0,2,6,5,5,1497,70,12,201
35,3,256,20000140,33.9783,-162,66,-118.4318,10,3,0,14,5,17,,1,3,2,3,1497,70,12,202
35,3,269,20000140,34.0503,167,-6,-118.1028,8,3,0,14,35,16,0.0,1,5,2,3,1497,70,12,203
35,3,285,20000140,33.8943,-4,150,-118.2738,6,3,0,14,24,15,1.0,1,4,2,4,1497,70,12,204
35,3,297,20000140,34.0353,-185,9,-118.4548,5,3,0,14,1,18,1.0,1,3,2,3,1497,70,12,205
35,3,311,20000140,34.0253,237,19,-118.0328,3,3,0,14,21,23,1.0,2,5,1,5,1497,70,12,206
35,3,333,20000140,34.0253,-229,19,-118.4988,0,3,0,14,47,22,1.0,2,3,6,5,1497,70,12,207
7,4,350,20000140,34.0443,0,0,-118.2698,11,4,0,14,10,0,0.0,1,4,4,1,1497,70,12,208
56,1,398,20000140,34.0443,0,0,-118.2698,7,4,0,14,10,0,1.0,1,4,4,1,1497,70,12,209
35,3,411,20000140,33.8883,-214,156,-118.4838,5,4,0,14,19,26,,2,6,5,5,1497,70,12,210
35,3,425,20000140,33.9073,-149,137,-118.4188,3,4,0,14,38,20,,1,6,2,3,1497,70,12,211
35,3,448,20000140,33.9623,37,82,-118.2328,1,4,0,14,18,8,1.0,1,4,7,4,1497,70,12,212
35,3,450,20000140,33.9573,-42,87,-118.3118,0,4,0,14,46,9,0.0,1,4,7,4,1497,70,12,213
35,3,17,20000147,33.7973,28,247,-118.2418,9,1,0,14,3,24,0.0,2,4,5,5,138,32,16,214
35,3,48,20000147,33.9473,7,97,-118.2628,6,1,0,14,10,9,0.0,1,4,7,4,138,32,16,215
42,1,83,20000147,34.0443,0,0,-118.2698,3,1,0,14,10,0,1.0,1,4,4,1,138,32,16,216
19,4,114,20000147,34.0443,0,0,-118.2698,0,1,0,14,13,0,0.0,1,4,4,1,138,32,16,217
42,1,153,20000147,34.0443,0,0,-118.2698,7,2,0,14,24,0,1.0,1,4,4,1,138,32,16,218
35,3,166,20000147,33.9093,115,135,-118.1548,6,2,0,14,3,17,0.0,1,1,2,3,138,32,16,219
35,3,213,20000147,33.8603,142,184,-118.1278,0,2,0,14,44,23,0.0,1,1,2,3,138,32,16,220
42,1,224,20000147,34.0443,0,0,-118.2698,11,3,0,14,24,0,1.0,1,4,4,1,138,32,16,221
19,4,229,20000147,34.0443,0,0,-118.2698,10,3,0,14,19,0,1.0,1,4,4,1,138,32,16,222
35,3,231,20000147,33.8813,79,163,-118.1908,9,3,0,14,45,18,0.0,1,1,2,3,138,32,16,223
35,3,251,20000147,33.9033,142,141,-118.1278,7,3,0,14,22,20,1.0,1,1,2,3,138,32,16,224
35,3,257,20000147,33.9193,30,125,-118.2398,6,3,0,14,43,12,0.0,1,4,7,4,138,32,16,225
39,3,276,20000147,33.9473,-60,97,-118.3298,4,3,0,14,55,11,1.0,1,3,7,4,138,32,16,226
7,4,302,20000147,34.0443,0,0,-118.2698,1,3,0,14,34,0,0.0,1,4,4,1,138,32,16,227
34,1,322,20000147,34.0443,0,0,-118.2698,0,3,0,14,4,0,,1,4,4,1,138,32,16,228
35,3,330,20000147,33.7993,115,245,-118.1548,11,4,0,14,13,27,0.0,2,1,5,5,138,32,16,229
35,3,334,20000147,33.8603,-132,184,-118.4018,10,4,0,14,52,22,0.0,1,6,2,3,138,32,16,230
7,4,342,20000147,34.0443,0,0,-118.2698,10,4,0,14,12,0,0.0,1,4,4,1,138,32,16,231
19,4,344,20000147,34.0443,0,0,-118.2698,10,4,0,14,8,0,0.0,1,4,4,1,138,32,16,232
39,3,437,20000147,33.9683,-25,76,-118.2948,2,4,0,14,20,8,1.0,1,4,7,4,138,32,16,233
35,3,440,20000147,33.9363,-145,108,-118.4148,1,4,0,14,37,18,0.0,1,6,2,3,138,32,16,234
35,3,454,20000147,34.0733,-208,-29,-118.4778,0,4,0,14,31,21,0.0,1,3,2,3,138,32,16,235
35,3,10,20000168,33.8963,-105,148,-118.3748,10,1,0,14,5,18,1.0,1,6,2,3,1355,37,8,236
35,3,26,20000168,33.8693,-48,175,-118.3178,8,1,0,14,0,18,0.0,1,4,2,3,1355,37,8,237
35,3,51,20000168,33.7973,-77,247,-118.3468,4,1,0,14,58,25,0.0,2,4,5,5,1355,37,8,238
7,4,74,20000168,34.0443,0,0,-118.2698,2,1,0,14,36,0,1.0,1,4,4,1,1355,37,8,239
